Filename	Area	Mean	Min	Max	Median
072317_06_R3D_w523_t010.tif	40013	56.735136081	42	137	56
072317_06_R3D_w523_t011.tif	41427	57.036546214	42	126	56
072317_06_R3D_w523_t012.tif	41950	57.631466031	42	117	56
072317_06_R3D_w523_t013.tif	42209	57.679286408	42	108	56
072317_06_R3D_w523_t014.tif	43060	57.977241059	42	102	56
072317_06_R3D_w523_t015.tif	43365	57.594488643	42	93	56
072317_06_R3D_w523_t016.tif	44118	57.230722154	42	87	56
072317_06_R3D_w523_t017.tif	43232	55.521743153	42	80	54
072317_06_R3D_w523_t018.tif	43483	54.867971391	42	74	54
072317_06_R3D_w523_t019.tif	42506	53.958217663	42	70	53
072317_06_R3D_w523_t020.tif	40825	52.417048377	42	67	52
072317_06_R3D_w523_t021.tif	39443	51.294754456	42	65	50
072317_06_R3D_w523_t022.tif	37868	50.050966515	42	63	49
072317_06_R3D_w523_t023.tif	36226	49.058493899	42	61	48
072317_06_R3D_w523_t024.tif	34345	48.042160431	42	59	47
072317_06_R3D_w523_t025.tif	32482	47.352502925	42	58	47
072317_06_R3D_w523_t026.tif	31107	46.844600894	42	57	46
072317_06_R3D_w523_t027.tif	28582	46.380379260	42	55	46
072317_06_R3D_w523_t028.tif	26289	45.985697440	42	55	46
072317_06_R3D_w523_t029.tif	23938	45.648090901	42	54	45
072317_06_R3D_w523_t030.tif	20871	45.081644387	42	53	45
072317_06_R3D_w523_t031.tif	20502	44.885377036	42	52	44
072317_06_R3D_w523_t032.tif	18672	44.516923736	42	52	44
072317_06_R3D_w523_t033.tif	17411	44.266498191	42	51	44
072317_06_R3D_w523_t034.tif	16769	44.188741129	42	51	44
072317_06_R3D_w523_t035.tif	16478	44.022757616	42	50	44
072317_06_R3D_w523_t036.tif	19365	44.040640330	42	51	44
072317_06_R3D_w523_t037.tif	23208	44.156066873	42	51	44
072317_06_R3D_w523_t038.tif	20803	43.881026775	42	50	43
072317_06_R3D_w523_t039.tif	19711	43.702704074	42	50	43
072317_06_R3D_w523_t040.tif	20045	43.659565977	42	50	43
072317_06_R3D_w523_t041.tif	20210	43.619742702	42	49	43
072317_06_R3D_w523_t042.tif	18320	43.425655022	42	49	43
072317_06_R3D_w523_t043.tif	18010	43.378067740	42	49	43
072317_06_R3D_w523_t044.tif	16410	43.268129190	42	48	43
072317_06_R3D_w523_t045.tif	14324	43.101368333	42	48	43
072317_06_R3D_w523_t046.tif	12987	43.007315007	42	47	43
072317_06_R3D_w523_t047.tif	12198	42.976635514	42	47	43
072317_06_R3D_w523_t048.tif	10478	42.846631036	42	47	43
072317_06_R3D_w523_t049.tif	8362	42.704735709	42	46	42
072317_06_R3D_w523_t050.tif	7632	42.647274633	42	46	42
072317_06_R3D_w523_t051.tif	5126	42.472688256	42	45	42
072317_06_R3D_w523_t052.tif	3967	42.371061255	42	45	42
072317_06_R3D_w523_t053.tif	2368	42.243243243	42	44	42
072317_06_R3D_w523_t054.tif	1896	42.177742616	42	44	42
072317_06_R3D_w523_t055.tif	190	42.015789474	42	43	42
072317_06_R3D_w523_t056.tif	182	42.021978022	42	43	42
072317_06_R3D_w523_t057.tif	28	42	42	42	42
072317_06_R3D_w523_t058.tif	7	42	42	42	42
072317_06_R3D_w523_t059.tif	0	NaN	255	41	255
072317_06_R3D_w523_t060.tif	0	NaN	255	41	255
072317_06_R3D_w523_t061.tif	0	NaN	255	41	255
072317_06_R3D_w523_t062.tif	0	NaN	255	40	255
072317_06_R3D_w523_t063.tif	0	NaN	255	39	255
072317_06_R3D_w523_t064.tif	0	NaN	255	39	255
072317_06_R3D_w523_t065.tif	0	NaN	255	39	255
072317_06_R3D_w523_t066.tif	0	NaN	255	39	255
072317_06_R3D_w523_t067.tif	0	NaN	255	38	255
